,Fold selected features,Fold nb of features
Fold 64,"['ACE2', 'ACP5', 'ACP6', 'ADCYAP1R1', 'ALPP', 'AMIGO2', 'AMY2A', 'AMY2B', 'AOC1', 'APOM', 'BAIAP2', 'BSG', 'CA6', 'CCL15', 'CCL20', 'CDHR1', 'CES2', 'CLEC4C', 'CLUL1', 'CRELD2', 'CRTAC1', 'CTRB1', 'CTSF', 'CTSV', 'DCTPP1', 'DDR1', 'DKKL1', 'DLL1', 'DSG2', 'ENPP7', 'EPS8L2', 'FBP1', 'FCN2', 'FCRL1', 'FCRL5', 'FCRLB', 'FGF21', 'FGF5', 'FOSB', 'GFAP', 'GFRA2', 'GGT5', 'GH2', 'GNLY', 'GPA33', 'GUCA2A', 'HDGF', 'IGF2R', 'IL17C', 'IL5RA', 'IL6R', 'ING1', 'ISM1', 'ITGB6', 'JUN', 'KITLG', 'KLB', 'KLK1', 'KLK10', 'KLRB1', 'LGALS1', 'LHB', 'LILRB1', 'LY96', 'LYPD3', 'MARCO', 'MASP1', 'MDGA1', 'MET', 'MILR1', 'MMP13', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NINJ1', 'NOMO1', 'NPTN', 'NRP1', 'NTF4', 'PCDH1', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PIGR', 'PLAU', 'PM20D1', 'PNLIPRP2', 'PRKRA', 'PRSS8', 'PSIP1', 'RANGAP1', 'S100A16', 'SCGN', 'SCP2', 'SELPLG', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINK6', 'SPINT1', 'SRP14', 'TDGF1', 'TFRC', 'THBS2', 'THPO', 'TLR3', 'TMPRSS5', 'TNC', 'TP53', 'TPT1', 'VEGFA', 'VWA1', 'XPNPEP2', 'XRCC4']",115
Fold 65,"['ADAM15', 'ADAMTS13', 'ADAMTS15', 'ANXA11', 'ANXA3', 'APEX1', 'ASAH2', 'B4GAT1', 'BAIAP2', 'BST1', 'CAPG', 'CASC4', 'CASP1', 'CCL15', 'CCL20', 'CCL23', 'CD177', 'CD63', 'CEACAM21', 'CEACAM3', 'CEACAM5', 'CHIT1', 'CHL1', 'CLC', 'CNTN1', 'CPA2', 'CRTAC1', 'CSF1', 'CTRB1', 'CTSF', 'CTSH', 'CXCL13', 'CXCL8', 'DKKL1', 'DLL1', 'EPCAM', 'EPHA10', 'FBP1', 'FCAR', 'FCGR2B', 'FGF21', 'FOSB', 'FUCA1', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GPC5', 'GZMA', 'GZMB', 'HCLS1', 'HLA-DRA', 'HPGDS', 'ICAM1', 'IFNGR2', 'IGF2R', 'IL10', 'IL13', 'IL16', 'IL18RAP', 'IL22RA1', 'IL33', 'ITGB6', 'KIR2DL3', 'KLK1', 'KLK12', 'KLK14', 'LAMP3', 'LGALS3', 'LILRB1', 'LTA', 'LYN', 'LYPD8', 'MDGA1', 'MILR1', 'MME', 'MSLN', 'MUC13', 'MZB1', 'NCF2', 'NCLN', 'NEFL', 'NPTN', 'PADI2', 'PIGR', 'PLAUR', 'PM20D1', 'POLR2F', 'PRL', 'PTPRM', 'QPCT', 'RANGAP1', 'RBP2', 'RET', 'S100A11', 'SCARB1', 'SCP2', 'SERPINB9', 'SFTPA2', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINK6', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'THBS2', 'THPO', 'TIGAR', 'TNFRSF8', 'WFDC2', 'WISP1', 'XPNPEP2']",114
Fold 66,"['ACE2', 'ACP5', 'ACP6', 'ADAMTS13', 'ADAMTS15', 'ADAMTS16', 'ADGRG1', 'AMBP', 'AMY2A', 'AMY2B', 'ANGPTL3', 'AOC1', 'APEX1', 'APLP1', 'APOM', 'ATP6V1D', 'BAIAP2', 'C19orf12', 'CALB2', 'CCL15', 'CCL20', 'CCL8', 'CD5', 'CD63', 'CDHR1', 'CES2', 'CHIT1', 'CLPS', 'CLUL1', 'CNDP1', 'COLEC12', 'CPA1', 'CPVL', 'CRTAC1', 'CTRB1', 'CTSF', 'CTSH', 'CXCL14', 'CXCL8', 'DKK1', 'DKKL1', 'DNER', 'DPT', 'ENPP7', 'EPS8L2', 'ERBB4', 'ERP44', 'FABP4', 'FCN2', 'FCRL5', 'FGF21', 'FGF5', 'FOSB', 'GFAP', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GP2', 'HDGF', 'HSPG2', 'ICAM1', 'ICAM5', 'IGF2R', 'IGFBPL1', 'IL11', 'IL13', 'IL13RA1', 'IL17C', 'IL33', 'INHBC', 'ISLR2', 'ISM1', 'KCNIP4', 'KLK10', 'KRT5', 'LAMA4', 'LEP', 'LGALS1', 'LHB', 'LRRC25', 'LTA', 'LY96', 'LYPD1', 'MAGED1', 'MARCO', 'MASP1', 'MCFD2', 'MDGA1', 'MET', 'MILR1', 'MME', 'MMP13', 'MSLN', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NOMO1', 'NPTN', 'NPY', 'NRP1', 'NTRK3', 'NXPH1', 'PCDH1', 'PDGFC', 'PIGR', 'PLA2G10', 'PLAUR', 'PLIN1', 'PM20D1', 'PNLIPRP2', 'PON3', 'PPY', 'PRKRA', 'PRL', 'PRSS8', 'PSIP1', 'RANGAP1', 'RARRES1', 'S100A16', 'SELE', 'SELPLG', 'SERPINB6', 'SIGLEC9', 'SMOC2', 'SOST', 'SPINK6', 'SPINT1', 'STX8', 'TDGF1', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF4', 'TSHB', 'TSLP', 'ULBP2', 'WFIKKN1', 'XPNPEP2']",142
Fold 67,"['CCL20', 'CCL7', 'MZB1']",3
Fold 68,"['CDCP1', 'CXCL8', 'DSG4', 'GDF15', 'LGALS9', 'MZB1', 'PON3', 'TIMP1']",8
Fold 69,"['ANGPTL2', 'CCL20', 'CDHR1', 'CEACAM3', 'CES2', 'CRTAC1', 'CTSL', 'DKKL1', 'DLL1', 'DPT', 'DSG4', 'FABP4', 'FCN2', 'FGF21', 'GGT5', 'HDGF', 'HLA-DRA', 'IL11', 'KCNIP4', 'MAGED1', 'MDGA1', 'MUC13', 'MZB1', 'NDRG1', 'NPTN', 'PDGFC', 'PPY', 'TCL1A', 'TDGF1', 'TNFRSF13C', 'XPNPEP2']",31
Fold 70,"['CDCP1', 'DSG4', 'FBP1', 'GRN', 'IL2RA', 'LGALS1', 'MZB1', 'PON3']",8
Fold 71,"['CCL7', 'CXCL8', 'GDF15', 'LGALS1', 'MZB1', 'TNFRSF10A']",6
Fold 72,"['ACP5', 'ACTN4', 'ADAM15', 'AMBN', 'AMIGO2', 'AMY2A', 'AOC1', 'BAIAP2', 'BSG', 'CBLIF', 'CCL20', 'CD1C', 'CD63', 'CDH17', 'CES2', 'CHIT1', 'CLUL1', 'CPA2', 'CPE', 'CRELD2', 'CRTAC1', 'CSF2RA', 'CTSH', 'CXCL13', 'DLL1', 'ENPP7', 'FABP4', 'FBP1', 'FCN2', 'FCRL5', 'GDF15', 'GFAP', 'GFRA2', 'GGT5', 'GNLY', 'GPA33', 'GPC5', 'GZMA', 'HCLS1', 'HDGF', 'IGF2R', 'IL17C', 'IL18RAP', 'IL20', 'IL22RA1', 'JCHAIN', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK1', 'KLRD1', 'LAIR2', 'LEFTY2', 'LGALS1', 'LHB', 'LRPAP1', 'LYPD1', 'MARCO', 'MDGA1', 'MDK', 'MET', 'MMP13', 'MUC13', 'MZB1', 'NCLN', 'NGF', 'NOS1', 'NPTN', 'NPY', 'NRP1', 'NRP2', 'NTF4', 'OMG', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PM20D1', 'PODXL2', 'PON3', 'PRDX1', 'PRSS8', 'PRTG', 'PSIP1', 'PSPN', 'S100A16', 'SNCG', 'SRP14', 'SSC5D', 'TDGF1', 'THPO', 'TMPRSS5', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'ULBP2', 'XPNPEP2']",98
Fold 73,"['ADAM15', 'ADAMTS13', 'ANGPTL2', 'ARNT', 'BAIAP2', 'C19orf12', 'CCL20', 'CES2', 'CRTAC1', 'CTSF', 'DKKL1', 'DSG4', 'FCGR2A', 'IKZF2', 'IL22RA1', 'KCNIP4', 'MSR1', 'MUC13', 'MZB1', 'NDRG1', 'NPTN', 'PPY', 'RANGAP1', 'SMOC2', 'SRP14', 'TFPI2', 'TNC', 'XPNPEP2', 'XRCC4']",29
Fold 74,"['ADAMTS15', 'ADGRG2', 'AMBP', 'AMY2A', 'AMY2B', 'ANGPTL7', 'ARNT', 'ATP6V1D', 'B4GAT1', 'BAIAP2', 'CCL19', 'CCL20', 'CD300C', 'CD34', 'CD5', 'CDH17', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CLEC4G', 'CNTN1', 'CPA2', 'CPVL', 'CRTAC1', 'CTSH', 'DKKL1', 'DLL1', 'DPT', 'DSG4', 'ERBB4', 'FABP1', 'FCRL5', 'FGF21', 'FOSB', 'GAL', 'GPA33', 'GZMA', 'HDGF', 'HLA-DRA', 'ICAM4', 'IFNGR2', 'IGF2R', 'IL11', 'IL24', 'IL2RB', 'IL32', 'INHBC', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK1', 'KLK12', 'LAMA4', 'LGALS9', 'LHPP', 'LILRA5', 'LILRB1', 'MAGED1', 'MARCO', 'MDGA1', 'MILR1', 'MUC13', 'MZB1', 'NAMPT', 'NCAM2', 'NOMO1', 'NPTN', 'NRP2', 'NTRK3', 'PCSK9', 'PDGFC', 'PM20D1', 'PON3', 'PPY', 'PTS', 'RAB6B', 'RARRES1', 'RBP2', 'RBP5', 'RELT', 'S100A16', 'SELPLG', 'SMOC2', 'SPINK6', 'SPINT1', 'TDGF1', 'TFPI2', 'THBS2', 'THPO', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF8', 'TSHB', 'TSPAN1', 'XPNPEP2']",97
Fold 75,"['ADAM15', 'CCL19', 'CCL20', 'CDHR1', 'CRTAC1', 'CXCL8', 'DPT', 'ENPP7', 'FOSB', 'HLA-DRA', 'IGF2R', 'KLK10', 'MUC13', 'MZB1', 'NINJ1', 'NTRK3', 'PM20D1', 'PON3', 'RANGAP1', 'SMOC2', 'SOST', 'SSB', 'TDGF1', 'XPNPEP2', 'XRCC4']",25
Fold 76,"['ADAMTS13', 'ADAMTS15', 'ANGPTL2', 'AOC1', 'B4GAT1', 'BAIAP2', 'BSG', 'CAMKK1', 'CCL20', 'CD164', 'CD63', 'CES2', 'CHIT1', 'CRTAC1', 'CSTB', 'CTRB1', 'CTSH', 'DKKL1', 'ENPP7', 'FABP1', 'FABP4', 'FBP1', 'FCGR2B', 'FCN2', 'FOSB', 'GDF15', 'GFAP', 'GFRA2', 'GGT1', 'GGT5', 'HDGF', 'HEBP1', 'HSPG2', 'IFNGR1', 'IGF2R', 'IL11', 'IL13', 'IL22RA1', 'IL24', 'IL2RA', 'IL33', 'ISLR2', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK12', 'LAMA4', 'LGALS1', 'LRPAP1', 'LY96', 'MDGA1', 'MET', 'MSR1', 'MUC13', 'MUC16', 'MZB1', 'NCLN', 'NPTN', 'NPY', 'PAEP', 'PDGFC', 'PDGFRA', 'PM20D1', 'PON3', 'PPY', 'PRSS8', 'RANGAP1', 'SIGLEC9', 'SPINT1', 'SRP14', 'TDGF1', 'THPO', 'TLR3', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TPT1', 'XPNPEP2']",83
Fold 77,"['CCL20', 'CCL7', 'CRTAC1', 'HDGF', 'LGALS1', 'MDGA1', 'MZB1', 'NOMO1', 'SRP14', 'TFPI2', 'TNC']",11
Fold 78,"['ADAM15', 'AMY2A', 'AMY2B', 'ASAH2', 'B4GAT1', 'C19orf12', 'CASP1', 'CCL15', 'CCL19', 'CD63', 'CDH17', 'CDHR1', 'CEACAM5', 'CHIT1', 'CHL1', 'CLEC4G', 'CPA2', 'CPM', 'CRTAC1', 'CTRB1', 'CTSH', 'DKKL1', 'FBP1', 'FCGR2B', 'FGF21', 'FOSB', 'GFRA2', 'GH2', 'HLA-DRA', 'HPGDS', 'IGF2R', 'IL13', 'IL2', 'IL2RA', 'IL33', 'ISM1', 'KCNIP4', 'KLK1', 'KLK12', 'LAMA4', 'LY96', 'MDGA1', 'MSLN', 'MZB1', 'NCF2', 'NFATC3', 'NINJ1', 'NPTN', 'NPY', 'PCSK9', 'PDGFC', 'RANGAP1', 'RARRES1', 'SIGLEC9', 'SMOC2', 'SPINK6', 'SPINT1', 'SRP14', 'TDGF1', 'THBS2', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF8', 'TSHB', 'XPNPEP2', 'XRCC4']",67
Fold 79,"['ADAM15', 'ADAMTS13', 'ADGRG2', 'AFP', 'AMBP', 'AOC1', 'BAIAP2', 'C4BPB', 'CAMKK1', 'CCL20', 'CD164', 'CD38', 'CD5', 'CDHR1', 'CES2', 'CLSPN', 'CNTN4', 'COLEC12', 'CPA2', 'CPE', 'CRTAC1', 'CRX', 'ENG', 'FCGR2A', 'FCN2', 'FOSB', 'GFAP', 'GFOD2', 'GFRA2', 'GGT1', 'GPA33', 'HDGF', 'HMBS', 'IL16', 'IL17C', 'IL2RA', 'JCHAIN', 'KIR2DL3', 'KLRD1', 'L1CAM', 'LEP', 'LILRA5', 'LILRB1', 'LRPAP1', 'LRRC25', 'LSP1', 'LYPD1', 'LYPD8', 'MARCO', 'MDGA1', 'MZB1', 'NDRG1', 'NPM1', 'NRP1', 'NRP2', 'PDGFC', 'PIGR', 'PKLR', 'PLA2G7', 'PON3', 'PRL', 'PSIP1', 'S100A16', 'SCARA5', 'SCARB1', 'SCP2', 'SEZ6L2', 'SIGLEC9', 'SLC39A5', 'SMOC2', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'TFRC', 'TMPRSS5', 'TMSB10', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF8', 'TPT1', 'TSLP', 'XG', 'XPNPEP2']",85
Fold 80,"['ACP5', 'ANGPTL3', 'AOC1', 'BAIAP2', 'CCL20', 'CD22', 'CD38', 'CD63', 'CDHR1', 'CDHR2', 'CEACAM5', 'CES2', 'CHIT1', 'CLUL1', 'CNTN3', 'CNTNAP2', 'COL4A1', 'CRTAC1', 'DFFA', 'DKKL1', 'DLL1', 'DNAJB1', 'DPT', 'ENPP7', 'FASLG', 'FCN2', 'FCRL5', 'FOSB', 'FST', 'GFOD2', 'GFRA2', 'GGT5', 'GH2', 'GNLY', 'GPA33', 'HDGF', 'IFNGR2', 'IGF2R', 'IL11', 'IL17D', 'IL22RA1', 'IL24', 'IL32', 'IL33', 'INHBC', 'ISLR2', 'KCNIP4', 'KLB', 'KLK10', 'KLRD1', 'LAMA4', 'LHB', 'LHPP', 'LILRB1', 'LRP11', 'LSM1', 'MAGED1', 'MARCO', 'MDGA1', 'MIF', 'MMP13', 'MUC13', 'MZB1', 'NCLN', 'NINJ1', 'NOMO1', 'NPTN', 'NPTXR', 'NRP1', 'PDGFC', 'PDGFRA', 'PM20D1', 'PON2', 'PON3', 'PPY', 'PRKRA', 'PTH1R', 'RARRES1', 'S100A16', 'SCGN', 'SDC1', 'SELPLG', 'SIGLEC9', 'SMOC2', 'SOST', 'SPINK6', 'SPINT1', 'SSC5D', 'TANK', 'TDGF1', 'TFPI2', 'TMPRSS5', 'TMSB10', 'TNFRSF4', 'TP53INP1', 'TPT1', 'TXLNA', 'XPNPEP2']",98
Fold 81,"['ACAN', 'ADAM15', 'ADAMTS15', 'ADGRG1', 'ADGRG2', 'AMY2A', 'AMY2B', 'APOM', 'ATP6V1D', 'BAIAP2', 'C19orf12', 'CASP1', 'CCL15', 'CCL19', 'CCL7', 'CD48', 'CD5', 'CD63', 'CDHR1', 'CEACAM21', 'CEACAM5', 'CELA3A', 'CHI3L1', 'CHIT1', 'CLEC4G', 'CNTN1', 'CNTN5', 'COLEC12', 'CPVL', 'CRH', 'CRISP2', 'CRTAC1', 'CTRB1', 'CTSH', 'CTSL', 'CXCL8', 'DEFA1_DEFA1B', 'DKKL1', 'DSG4', 'FABP1', 'FCRL5', 'FGF21', 'FOSB', 'GFRA2', 'GGT1', 'GH2', 'HDGF', 'HLA-DRA', 'IGF2R', 'IGFBPL1', 'IKZF2', 'IL13', 'IL24', 'IL2RB', 'ISM1', 'KCNIP4', 'KRT5', 'LAMA4', 'LGALS1', 'LGALS9', 'LILRB1', 'LTA4H', 'LY9', 'MAPT', 'MDGA1', 'MET', 'MICB_MICA', 'MSLN', 'MUC13', 'MZB1', 'NAMPT', 'NELL1', 'NPTN', 'NPY', 'NTRK3', 'NXPH1', 'PIGR', 'PLAUR', 'PM20D1', 'PON3', 'PPY', 'PRSS8', 'PTH1R', 'RAB6B', 'RANGAP1', 'RELT', 'REN', 'RET', 'SCGB1A1', 'SELE', 'SERPINA11', 'SIGLEC7', 'SIGLEC9', 'SPINK6', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'THPO', 'TIGAR', 'TLR3', 'TMSB10', 'TNC', 'TNFRSF13B', 'TNFRSF8', 'TSHB', 'TSLP', 'UMOD', 'WIF1', 'XPNPEP2']",110
Fold 82,"['ACE2', 'ACTN4', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'AKT3', 'AMFR', 'AMIGO2', 'AMN', 'AMY2B', 'AOC1', 'APBB1IP', 'APEX1', 'ATP6V1D', 'BAIAP2', 'BSG', 'CAPG', 'CCL15', 'CCL19', 'CCL20', 'CCL7', 'CD276', 'CD38', 'CD63', 'CD79B', 'CDH17', 'CDHR1', 'CHIT1', 'CHL1', 'COPE', 'CPA2', 'CRELD2', 'CRTAC1', 'CSF2RA', 'CTRC', 'CTSF', 'CTSH', 'CXCL8', 'DFFA', 'DKKL1', 'DLL1', 'DPT', 'ENPP7', 'EREG', 'EZR', 'FABP4', 'FBP1', 'FCN2', 'FCRL5', 'FGF21', 'FOSB', 'GFRA2', 'GGT5', 'GP2', 'GPA33', 'GPC5', 'HBQ1', 'HCLS1', 'HLA-DRA', 'ICAM1', 'IFNGR1', 'IGF2R', 'IGFBPL1', 'IGSF3', 'IL11', 'IL13', 'IL13RA1', 'IL17C', 'IL17RB', 'IL1RAP', 'IL2RA', 'IL5', 'ING1', 'JUN', 'KCNIP4', 'KLB', 'KLK12', 'LAMA4', 'LGALS1', 'LILRB1', 'LSP1', 'LTA', 'LY96', 'LYPD1', 'MCFD2', 'MDGA1', 'MET', 'MGMT', 'MILR1', 'MMP13', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NECTIN2', 'NOMO1', 'NOS1', 'NPM1', 'NPTN', 'NPTXR', 'NTRK3', 'PCOLCE', 'PDGFC', 'PIGR', 'PLAUR', 'PM20D1', 'PON3', 'PPY', 'PRKRA', 'PROC', 'PSIP1', 'PTPN6', 'RANGAP1', 'RARRES1', 'RNASE3', 'S100A16', 'SCP2', 'SELPLG', 'SIGLEC9', 'SLC39A5', 'SMOC2', 'SOD2', 'SPINT1', 'SRP14', 'SSB', 'TANK', 'TDGF1', 'TFPI2', 'TFRC', 'THPO', 'TIMP3', 'TMPRSS5', 'TNC', 'TNFRSF11B', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TPT1', 'ULBP2', 'VWA1', 'XPNPEP2', 'XRCC4']",143
Fold 83,"['CCL20', 'IL2RA', 'LGALS1', 'LGALS9', 'MZB1', 'PON3', 'TFPI2', 'TNFRSF8']",8
Fold 84,"['ADAMTS13', 'ADAMTS15', 'ANGPTL2', 'AOC1', 'ATP6V1D', 'B4GAT1', 'BAIAP2', 'CALB2', 'CAPG', 'CCL20', 'CEACAM3', 'CES2', 'CGREF1', 'CLUL1', 'CNTN1', 'CNTN2', 'CNTNAP2', 'COLEC12', 'CRTAC1', 'CSTB', 'CTSF', 'DKKL1', 'EGLN1', 'FABP4', 'FBP1', 'FCN2', 'GCG', 'GFAP', 'GFRA2', 'GGT1', 'GH2', 'HEBP1', 'HLA-DRA', 'IGF2R', 'IL16', 'IL17C', 'IL22RA1', 'IL33', 'IL5', 'KLB', 'LILRA5', 'LRPAP1', 'LTO1', 'LY96', 'LYPD1', 'LYPD3', 'MDGA1', 'MSLN', 'MSTN', 'MUC13', 'MZB1', 'NFATC3', 'NPTN', 'NPTXR', 'NTF4', 'PAEP', 'PCSK9', 'PDGFC', 'PPY', 'PRL', 'RANGAP1', 'SEMA3F', 'SIGLEC9', 'SLC39A5', 'SMPDL3A', 'SPINK6', 'SPINT1', 'SRP14', 'SSC5D', 'TFPI2', 'THPO', 'TMPRSS5', 'TNFRSF11A', 'TNFRSF8', 'XPNPEP2', 'XRCC4']",76
Fold 85,"['ACAN', 'ACTN4', 'ADAMTS13', 'ADAMTS15', 'ADCYAP1R1', 'ANGPTL3', 'ANXA10', 'ANXA3', 'ARID4B', 'ATP6V1D', 'BAIAP2', 'CASP1', 'CCL20', 'CD177', 'CD5', 'CD63', 'CDHR1', 'CES2', 'CHIT1', 'CHL1', 'CLUL1', 'COL4A1', 'CRTAC1', 'CSTB', 'CTRB1', 'CTSL', 'CXCL8', 'DKKL1', 'DLL1', 'DPT', 'DSG4', 'ECE1', 'EGLN1', 'ENPP7', 'EREG', 'FCGR2B', 'FCGR3B', 'FCN2', 'FCRL5', 'FCRLB', 'FGF5', 'FOSB', 'FST', 'GFAP', 'GFRA2', 'GFRA3', 'GGT1', 'GGT5', 'GNLY', 'GPA33', 'GUCA2A', 'HDGF', 'HEBP1', 'HLA-DRA', 'HSPG2', 'ICAM1', 'IFNGR1', 'IFNGR2', 'IGF2R', 'IGSF3', 'IL13', 'IL16', 'IL17C', 'IL22RA1', 'IL24', 'IL2RA', 'IL33', 'IL5', 'KCNIP4', 'KLK1', 'KLK10', 'KLK11', 'KLRB1', 'LAMA4', 'LHB', 'LRPAP1', 'LY96', 'LYPD1', 'MAGED1', 'MDGA1', 'MET', 'MMP13', 'MSLN', 'MUC13', 'MUC16', 'MZB1', 'NAAA', 'NBN', 'NCLN', 'NELL2', 'NGF', 'NINJ1', 'NOMO1', 'NPTN', 'NPTXR', 'NPY', 'NRP2', 'NTF4', 'NTRK3', 'OPTC', 'PAEP', 'PDGFC', 'PDGFRA', 'PLA2G1B', 'PLAUR', 'PM20D1', 'PNLIPRP2', 'PON3', 'PPP3R1', 'PPY', 'PSIP1', 'PTH1R', 'RANGAP1', 'RASSF2', 'SCGN', 'SCRN1', 'SELE', 'SEZ6L2', 'SIGLEC9', 'SLITRK6', 'SPINK6', 'SPINT1', 'SRP14', 'SSB', 'SSC5D', 'TDGF1', 'TFPI2', 'THBS2', 'THPO', 'TIGAR', 'TLR3', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF13C', 'TNFRSF8', 'TPT1', 'TSHB', 'VSTM2L', 'XPNPEP2', 'XRCC4']",142
Fold 86,"['CCL20', 'LGALS1', 'LGALS9', 'MZB1']",4
Fold 87,"['ACE2', 'ADAMTS13', 'AFP', 'AKR1C4', 'AOC1', 'BAIAP2', 'BTN3A2', 'CA6', 'CALB2', 'CCL14', 'CCL19', 'CCL20', 'CCL22', 'CCL7', 'CD5', 'CD63', 'CD79B', 'CDH17', 'CDH5', 'CDHR1', 'CHIT1', 'CHRDL1', 'CNTN5', 'COL4A1', 'COPE', 'CPA2', 'CRTAC1', 'CSF2RA', 'CTSH', 'CTSS', 'CXCL8', 'DKKL1', 'DPY30', 'DSG4', 'EPCAM', 'FASLG', 'FBP1', 'FCN2', 'FCRL5', 'FGF21', 'FOLR1', 'FOSB', 'GDF15', 'GFAP', 'GFRA2', 'GGH', 'GGT1', 'GGT5', 'GPA33', 'GPC5', 'GRN', 'HBQ1', 'ICAM1', 'IGF2R', 'IL11', 'IL13', 'IL15RA', 'IL17A', 'IL17F', 'IL1A', 'IL1RAP', 'IL22RA1', 'IL5RA', 'IL6R', 'ISLR2', 'JUN', 'KEL', 'KLB', 'KLK12', 'LEP', 'LGALS1', 'LILRB1', 'LTBP3', 'LY9', 'LY96', 'LYPD1', 'MCFD2', 'MDGA1', 'MET', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NEFL', 'NOS1', 'NPTN', 'NPTXR', 'NPY', 'NTRK3', 'P4HB', 'PAEP', 'PIGR', 'PLAUR', 'POLR2F', 'PON3', 'PPY', 'PRKRA', 'PRSS8', 'PSIP1', 'PTPRM', 'RANGAP1', 'RARRES1', 'S100A16', 'SCP2', 'SEMA7A', 'SIGLEC7', 'SIGLEC9', 'SLC39A5', 'SMOC2', 'SOD2', 'SPINT1', 'SRP14', 'SSB', 'SSC4D', 'SSC5D', 'STC1', 'TDGF1', 'THBS2', 'TNC', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF8', 'TNFSF12', 'TPT1', 'TSLP', 'TSPAN1', 'VWA1', 'VWF', 'WFDC2', 'WFIKKN1', 'XPNPEP2']",132
Fold 88,"['CCL7', 'GDF15', 'LGALS1', 'MZB1']",4
Fold 89,"['ACTN4', 'ADAM15', 'ANGPTL2', 'ANXA3', 'ASAH2', 'ATP6V1D', 'B4GAT1', 'CALB2', 'CASP1', 'CCL15', 'CCL20', 'CD164', 'CDH17', 'CDHR2', 'CEACAM5', 'CELA3A', 'CHI3L1', 'CHIT1', 'COL6A3', 'CPA2', 'CPB1', 'CRTAC1', 'CSTB', 'CTRB1', 'CTSH', 'CXCL13', 'DKKL1', 'DLL1', 'DSG2', 'ENPP7', 'ERBB4', 'FBP1', 'FCRL5', 'FOSB', 'GNLY', 'GZMA', 'HCLS1', 'HDGF', 'HLA-DRA', 'HPGDS', 'IFNGR2', 'IGF2R', 'IL17RA', 'IL18RAP', 'IL1B', 'IL5', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK1', 'KLK12', 'LAMA4', 'LGALS1', 'LGALS3', 'LTA', 'LY96', 'LYPD8', 'MDGA1', 'MMP13', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NPTN', 'NRP2', 'PCSK9', 'PDGFC', 'PDGFRA', 'PIGR', 'PM20D1', 'PON3', 'PRL', 'PTPRM', 'RANGAP1', 'S100A16', 'SCARB1', 'SCP2', 'SELPLG', 'SMOC2', 'SPINK1', 'SPINT1', 'SRP14', 'TDGF1', 'THBS2', 'THPO', 'TLR3', 'TMPRSS5', 'TMSB10', 'TNFRSF8', 'TNFSF12', 'XPNPEP2']",91
Fold 90,"['CCL20', 'CES2', 'FOSB', 'LGALS1', 'MDGA1', 'MZB1', 'NDRG1', 'PDGFC', 'PON3', 'TMSB10', 'TNFRSF8']",11
