,Fold selected features,Fold nb of features
Fold 24,"['ACE2', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'AMY2A', 'AMY2B', 'ANGPTL7', 'ARNT', 'B4GAT1', 'BAIAP2', 'CAPG', 'CASP1', 'CCL15', 'CCL19', 'CCL20', 'CD5', 'CD63', 'CDH17', 'CDH5', 'CDHR1', 'CDHR2', 'CEACAM3', 'CEACAM5', 'CES2', 'CHIT1', 'CHL1', 'CHRDL1', 'CLEC10A', 'COL6A3', 'COLEC12', 'CPA2', 'CPB1', 'CRTAC1', 'CSTB', 'CTRB1', 'CTSH', 'DDC', 'DKKL1', 'DPT', 'DSG4', 'EPCAM', 'ERBB4', 'FCGR2B', 'FCRL5', 'FGF21', 'FOSB', 'FUT3_FUT5', 'GFOD2', 'GFRA2', 'GGT1', 'GGT5', 'GHRHR', 'GNLY', 'GPA33', 'GPC5', 'GZMA', 'HAVCR1', 'HLA-DRA', 'HPGDS', 'ICAM4', 'IFNGR2', 'IGF2R', 'IL13', 'IL17RB', 'IL1RAP', 'IL2', 'IL2RA', 'IL32', 'IL33', 'ISM1', 'KLK12', 'LGALS1', 'LGALS9', 'LILRA5', 'LSP1', 'LY9', 'LY96', 'MATN2', 'MDGA1', 'MILR1', 'MME', 'MSLN', 'MTPN', 'MUC13', 'MZB1', 'NCLN', 'NINJ1', 'NPM1', 'NPTN', 'NPY', 'NTF4', 'NTRK3', 'NXPH1', 'PCSK9', 'PDGFC', 'PDGFRA', 'PM20D1', 'POLR2F', 'PPY', 'PRL', 'PTH1R', 'RAB6B', 'RANGAP1', 'S100A11', 'SMOC2', 'SPINK6', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'THBS2', 'THPO', 'TMPRSS15', 'TMPRSS5', 'TNC', 'TNFRSF4', 'TNFRSF8', 'TNFSF12', 'TSHB', 'TYRO3', 'XPNPEP2']",121
Fold 25,"['CCL7', 'CRTAC1', 'LGALS1', 'MAD1L1', 'MZB1', 'SSB']",6
Fold 26,"['ACP5', 'ADAMTS15', 'AOC1', 'ATP5PO', 'B4GAT1', 'BAIAP2', 'BSG', 'CALB2', 'CCL15', 'CCL20', 'CD38', 'CDC27', 'CDH17', 'CDHR1', 'CES2', 'CHIT1', 'CHRDL1', 'CLEC4G', 'CLPS', 'CNTN5', 'COL4A1', 'COL6A3', 'COLEC12', 'CPA2', 'CRTAC1', 'CTSF', 'CTSL', 'CXCL16', 'CXCL8', 'DKKL1', 'DLL1', 'DPT', 'DSG2', 'DSG4', 'EPCAM', 'EPO', 'FABP4', 'FBP1', 'FCN2', 'FLT3', 'FOSB', 'GDF15', 'GFAP', 'GFOD2', 'GFRA2', 'GGT5', 'GLT8D2', 'GRN', 'HBQ1', 'HDGF', 'HEBP1', 'HLA-DRA', 'HMBS', 'HPGDS', 'IFNGR2', 'IL13', 'IL17C', 'IL22RA1', 'IL2RA', 'IL5RA', 'ISLR2', 'JCHAIN', 'KLK10', 'KLK11', 'L1CAM', 'LAMA4', 'LGALS9', 'LILRA5', 'LILRB1', 'LPO', 'LRP11', 'LRPAP1', 'LRRC25', 'LY96', 'LYPD1', 'MARCO', 'MDGA1', 'MET', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NPDC1', 'NPTN', 'NPY', 'NTRK3', 'PDGFC', 'PKLR', 'PLA2G7', 'PLAUR', 'PODXL2', 'PON3', 'PPY', 'PRKRA', 'RANGAP1', 'RETN', 'S100A16', 'SCGN', 'SIGLEC10', 'SIGLEC9', 'SIRT5', 'SLC39A5', 'SMOC2', 'SPINT1', 'SSB', 'TFPI2', 'THBS2', 'THPO', 'TNC', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TPT1', 'TSHB', 'TSLP', 'TXNDC5', 'XPNPEP2']",117
Fold 27,"['CCL20', 'CRTAC1', 'CTSH', 'CXCL13', 'CXCL8', 'FOSB', 'IGF2R', 'LGALS1', 'MDGA1', 'MSR1', 'MZB1', 'PON3', 'SIGLEC9', 'TNFRSF8']",14
Fold 28,"['CCL7', 'CRTAC1', 'LGALS9']",3
Fold 29,"['ACE2', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'AFP', 'AOC1', 'APEX1', 'BAIAP2', 'CALB2', 'CCDC80', 'CCL19', 'CCL20', 'CD109', 'CD164', 'CD276', 'CD5', 'CD63', 'CDHR1', 'CES2', 'CHI3L1', 'CHIT1', 'CHL1', 'CLEC10A', 'COL4A1', 'COL6A3', 'CRTAC1', 'CTSF', 'CXCL8', 'DKKL1', 'DLL1', 'DNAJB1', 'DNER', 'DPT', 'DSG2', 'DSG4', 'ENPP7', 'EREG', 'FASLG', 'FCAR', 'FCGR2A', 'FCN2', 'FCRL5', 'FOSB', 'FUCA1', 'FUS', 'GFOD2', 'GFRA2', 'GGT5', 'GNLY', 'GPA33', 'GPKOW', 'GRN', 'HCLS1', 'HDGF', 'IGF2R', 'IL11', 'IL13', 'IL16', 'IL17F', 'IL17RB', 'IL1A', 'IL1RL2', 'IL5RA', 'ISM1', 'ITGAM', 'JUN', 'KCNIP4', 'KIR2DL3', 'KLB', 'LILRA5', 'LY96', 'LYPD1', 'MATN2', 'MDGA1', 'MET', 'MGMT', 'MILR1', 'MUC13', 'MUC16', 'MZB1', 'NCF2', 'NCLN', 'NFASC', 'NINJ1', 'NPTN', 'PARP1', 'PDGFC', 'PDGFRA', 'PM20D1', 'PON3', 'PPY', 'PRDX5', 'PRSS8', 'PSIP1', 'RANGAP1', 'RASSF2', 'RELT', 'S100A16', 'SCARB1', 'SELPLG', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINK1', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'TFRC', 'THPO', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF11B', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TP53INP1', 'TPT1', 'TSPAN1', 'VTCN1', 'XPNPEP2']",122
Fold 30,"['CCL20', 'CTSH', 'LGALS1', 'MDGA1', 'MUC13', 'MZB1', 'PON3']",7
Fold 31,"['ADAMTS13', 'ADAMTS15', 'AOC1', 'APEX1', 'CCL14', 'CCL20', 'CD276', 'CNTN5', 'COL9A1', 'COLEC12', 'CRTAC1', 'CTSH', 'DKKL1', 'DLL1', 'DPT', 'DSG4', 'EPCAM', 'FABP4', 'FBP1', 'FCAR', 'FOSB', 'GCG', 'GFAP', 'GFRA2', 'GGH', 'GGT1', 'GPA33', 'GPC5', 'HBQ1', 'HCLS1', 'IGF2R', 'IGFBPL1', 'IL13', 'IL16', 'IL17A', 'IL17C', 'IL2', 'IL24', 'IL2RA', 'IL5', 'ILKAP', 'ISLR2', 'JUN', 'KLK12', 'KLRD1', 'L1CAM', 'LGALS1', 'LILRB1', 'LRPAP1', 'LRRC25', 'LSP1', 'LY96', 'LYPD1', 'MARCO', 'MDGA1', 'MET', 'MUC13', 'MZB1', 'NFKBIE', 'NOS1', 'NPM1', 'NPTN', 'NTF4', 'PAEP', 'PDGFC', 'PDGFRA', 'PKLR', 'PLAUR', 'PRKRA', 'PRL', 'PSIP1', 'S100A16', 'SCP2', 'SEMA3F', 'SIGLEC9', 'SLC39A5', 'SMOC2', 'SPINT1', 'SRP14', 'SSB', 'THBS2', 'THPO', 'TMSB10', 'TNFRSF13B', 'TNFRSF8', 'TPT1', 'VWF', 'XPNPEP2']",88
Fold 32,"['ACP5', 'ADAM15', 'ADAMTS15', 'AGRN', 'ANG', 'ANGPTL2', 'ANXA3', 'AOC1', 'ATP6V1D', 'B4GAT1', 'CAPG', 'CCL15', 'CCL20', 'CD177', 'CD63', 'CDCP1', 'CDH17', 'CDHR1', 'CEACAM3', 'CES2', 'CLUL1', 'COL4A1', 'COLEC12', 'CRTAC1', 'CRX', 'CSTB', 'CTSF', 'CTSH', 'DKKL1', 'DLL1', 'DNER', 'DSG2', 'ENG', 'ENPP7', 'FASLG', 'FBP1', 'FCAR', 'FCN2', 'FCRL5', 'FGF21', 'GFRA2', 'GGT1', 'GGT5', 'GNLY', 'GRN', 'HCLS1', 'HDGF', 'HLA-DRA', 'HSP90B1', 'ICAM1', 'IFNGR2', 'IGF2R', 'IGFBPL1', 'IL17C', 'IL22RA1', 'IL5', 'IL5RA', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK1', 'KLK10', 'KLK11', 'KLK14', 'KLRB1', 'LAIR2', 'LGALS9', 'LILRA5', 'LILRB1', 'LRP11', 'LRRC25', 'LY75', 'LY96', 'MDGA1', 'MET', 'MMP13', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NFATC3', 'NPTN', 'NTRK3', 'PCSK9', 'PDGFC', 'PIGR', 'PM20D1', 'PODXL2', 'PPY', 'PRL', 'PRSS8', 'PSPN', 'PTH1R', 'PTPRM', 'RANGAP1', 'RELT', 'RETN', 'S100A16', 'SCARB1', 'SMOC2', 'SMPDL3A', 'SPINK1', 'SPINK6', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'TFPI2', 'THBS2', 'THPO', 'TIMP4', 'TMPRSS5', 'TMSB10', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TNFSF12', 'TSPAN1', 'XPNPEP2']",120
Fold 33,"['ADAM15', 'ADGRG2', 'AMY2B', 'ANXA11', 'ANXA3', 'AOC1', 'ASAH2', 'BAIAP2', 'C19orf12', 'CASP1', 'CCL15', 'CCL17', 'CCL19', 'CCL20', 'CCL7', 'CD63', 'CD70', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CHL1', 'CNTN1', 'COL9A1', 'CPA2', 'CPM', 'CRHBP', 'CRTAC1', 'CSF2RA', 'CTRC', 'CTSH', 'CXCL8', 'DAPP1', 'DKKL1', 'DSG4', 'ECE1', 'ENPP7', 'EPCAM', 'FCGR2B', 'FCN2', 'FCRL5', 'FGF21', 'FOSB', 'GAL', 'GFRA2', 'GFRA3', 'GGT5', 'GH1', 'GH2', 'GPA33', 'GPC5', 'GUCA2A', 'HCLS1', 'HDGF', 'HLA-DRA', 'ICAM1', 'IFNGR2', 'IGF2R', 'IGSF3', 'IL10', 'IL2', 'IL2RA', 'IL32', 'IL6', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK1', 'KLK12', 'KLK14', 'KLK6', 'KRT18', 'LIF', 'LILRB1', 'MAPT', 'MDGA1', 'MET', 'MMP13', 'MUC13', 'MZB1', 'NFASC', 'NINJ1', 'NOMO1', 'NRP2', 'OXT', 'PDGFC', 'PLA2G10', 'PM20D1', 'PON3', 'PPY', 'RANGAP1', 'RARRES1', 'RBP2', 'SCG2', 'SDC1', 'SELPLG', 'SIGLEC10', 'SIGLEC7', 'SIGLEC9', 'SPINK6', 'SPINT1', 'SRP14', 'TDGF1', 'THBS2', 'THPO', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF13B', 'TNFRSF8', 'TSHB', 'XPNPEP2']",112
