,Fold selected features,Fold nb of features
Fold 67,"['CCL20', 'CCL7', 'CNTN1', 'CRTAC1', 'CTSH', 'MDGA1', 'MZB1', 'NOMO1', 'PON3', 'S100A16', 'SDC1', 'TFPI2']",12
Fold 68,"['ANGPTL2', 'AOC1', 'CA6', 'CNTN5', 'COL9A1', 'CRTAC1', 'CXCL8', 'DSG4', 'GDF15', 'LGALS1', 'LGALS9', 'LILRB1', 'LY9', 'MDGA1', 'MZB1', 'NOMO1', 'PLAUR', 'PON3', 'VWF']",19
Fold 69,"['CCL20', 'CRTAC1', 'MZB1']",3
Fold 70,"['CNTN5', 'DSG4', 'MDGA1', 'MZB1', 'PON3', 'S100A16']",6
Fold 71,"['C4BPB', 'CAPG', 'CCL20', 'CRTAC1', 'CTSH', 'CXCL8', 'DSG4', 'FOSB', 'JUN', 'LGALS1', 'LGALS9', 'LTA4H', 'MDGA1', 'MSLN', 'MZB1', 'NINJ1', 'SIGLEC9', 'SPINT1', 'TNFRSF8']",19
Fold 72,"['CCL20', 'CRTAC1', 'LGALS1', 'MDGA1', 'MZB1', 'TNFRSF8']",6
Fold 73,"['CCL20', 'MZB1', 'NDRG1']",3
Fold 74,"['CRTAC1', 'HLA-DRA', 'MDGA1', 'MZB1', 'PON3']",5
Fold 75,"['CCL20', 'CHI3L1', 'CRTAC1', 'CXCL8', 'DSG4', 'FOSB', 'MZB1', 'PON3']",8
Fold 76,"['CCL20', 'CES2', 'FABP4', 'FBP1', 'LGALS1', 'LILRA5', 'MDGA1', 'MUC13', 'MZB1', 'PDGFC', 'PON3', 'SIGLEC9']",12
Fold 77,"['CCL20', 'CRTAC1', 'LGALS1', 'MZB1', 'NOMO1', 'TFPI2', 'VWA1']",7
Fold 78,"['CCL15', 'CRTAC1', 'CTSH', 'CXCL8', 'DSG4', 'FBP1', 'HPGDS', 'MDGA1', 'MSLN', 'MZB1', 'NPY', 'SDC1', 'TNFRSF8']",13
Fold 79,"['ADGRG2', 'C4BPB', 'CCL20', 'CLSPN', 'CRTAC1', 'DDX58', 'DSG4', 'FBP1', 'FOSB', 'HDGF', 'JUN', 'KIR2DL3', 'LGALS1', 'LRRC25', 'MARCO', 'MDGA1', 'MZB1', 'NDRG1', 'PON3', 'SSB', 'TFPI2', 'TNFRSF13B', 'TNFRSF8']",23
Fold 80,"['CCL20', 'CES2', 'FOSB', 'MDGA1', 'MZB1', 'NOMO1']",6
Fold 81,"['CCL15', 'CTSH', 'CXCL8', 'DSG4', 'LGALS1', 'MDGA1', 'MZB1', 'PON3', 'TIMP1']",9
Fold 82,"['CRTAC1', 'PON3']",2
Fold 83,"['CCL20', 'CRTAC1', 'FOSB', 'LGALS1', 'MDGA1', 'MZB1', 'PON3', 'TFPI2', 'TNC', 'TNFRSF8']",10
Fold 84,"['CAPG', 'CCL20', 'CRTAC1', 'FBP1', 'HLA-DRA', 'IL16', 'LSP1', 'MDGA1', 'MZB1']",9
Fold 85,"['DSG4', 'MDGA1', 'MZB1', 'PON3']",4
Fold 86,"['CCL20', 'MZB1', 'NDRG1']",3
Fold 87,"['CA6', 'CCL20', 'CPA2', 'CRTAC1', 'CTSH', 'CXCL8', 'DSG4', 'FBP1', 'FOSB', 'JUN', 'LTBP3', 'MDGA1', 'MZB1', 'NPY', 'PON3', 'VWA1', 'VWF']",17
Fold 88,"['CCL20', 'CCL7', 'CRTAC1', 'CXCL8', 'LGALS1', 'MZB1', 'TFPI2']",7
Fold 89,"['CCL15', 'CCL20', 'CHI3L1', 'CRTAC1', 'CTSH', 'HPGDS', 'KIR2DL3', 'LGALS1', 'MDGA1', 'MZB1', 'PON3', 'TNFRSF8']",12
Fold 90,"['CCL20', 'FOSB', 'LGALS1', 'MDGA1', 'MZB1', 'PON3']",6
Fold 91,"['CCL20', 'DSG4', 'MZB1', 'PON3']",4
Fold 92,"['CCL15', 'CPA2', 'CRTAC1', 'CTSH', 'CXCL8', 'FBP1', 'IL2RA', 'LGALS1', 'LY96', 'MDGA1', 'MSLN', 'MZB1', 'NINJ1', 'TNFRSF8']",14
Fold 93,"['CXCL8', 'LGALS1', 'MZB1', 'NOMO1', 'PON3']",5
Fold 94,"['CCL20', 'CRTAC1', 'MZB1']",3
Fold 95,"['CCL20', 'CES2', 'CRTAC1', 'CXCL8', 'LGALS1', 'MDGA1', 'MZB1', 'NOMO1', 'PON3', 'TFPI2']",10
Fold 96,"['CCL20', 'CRTAC1', 'FOSB', 'MZB1', 'PDGFC', 'TNFRSF8']",6
Fold 97,"['ANGPTL2', 'CCL20', 'CNTN1', 'CPA2', 'CRTAC1', 'CTSH', 'DSG4', 'FCAR', 'JUN', 'KIR2DL3', 'LGALS1', 'MZB1', 'PON3', 'SPINT1']",14
Fold 98,"['ACP5', 'ANGPTL2', 'CA6', 'CCL15', 'CCL20', 'CLEC11A', 'CRTAC1', 'CTSH', 'CTSL', 'DSG4', 'FBP1', 'FOSB', 'GDF15', 'IL5RA', 'KLRD1', 'LGALS1', 'LILRB1', 'MZB1', 'NOMO1', 'NRP2', 'NTRK3', 'PON3', 'PTS', 'S100A16', 'TFPI2', 'TNFRSF8', 'VWA1', 'VWF']",28
Fold 99,"['DSG4', 'MDGA1', 'MZB1', 'PON3']",4
